title,price,sqft,bedrooms,bathrooms,address,neighbourhood,url,source,url_canon,address_norm,unit,source_rank,variant_id
,2250.0,620.0,1.0,1.0,"18 Sommerset Way - North York, ON",,,,,18 sommerset way - north york on,,999,fa437928ce
,2450.0,600.0,1.5,1.0,"18 Holmes Avenue - North York, ON",,,,,18 holmes avenue - north york on,,999,14b6187e26
,2400.0,680.0,1.0,1.0,"700 Humberwood Blvd - Etobicoke, ON",,,,,700 humberwood blvd - etobicoke on,,999,ae515d8e04
,2782.0,803.0,1.0,1.0,"4001 - 4005 Bayview Avenue - North York, ON",,,,,4001 - 4005 bayview avenue - north york on,4001,999,63dbcc9100
,3700.0,1100.0,4.0,2.0,"60 Bevdale Road - Toronto, ON",,,,,60 bevdale road - toronto on,,999,310afcacf0
,2275.0,490.0,1.0,1.0,"151 Beecroft Road - Toronto, ON",,,,,151 beecroft road - toronto on,,999,22e7c59733
,2000.0,530.0,1.0,1.0,"4955 Yonge Street - Toronto, ON",,,,,4955 yonge street - toronto on,,999,e4e16f5a37
,1790.0,338.0,1.0,1.0,"4750 Bathurst Street - Toronto, ON",,,,,4750 bathurst street - toronto on,,999,96e68cfae2
,2195.0,491.0,1.0,1.0,"44 Lillian Street - Toronto, ON",,,,,44 lillian street - toronto on,,999,c7f5d06f3a
,2250.0,540.0,1.0,1.0,"45 Dunfield Avenue - Toronto, ON",,,,,45 dunfield avenue - toronto on,,999,98759e7406
,2518.0,569.0,1.0,1.0,"223 Redpath Avenue - Toronto, ON",,,,,223 redpath avenue - toronto on,,999,a5e43499c2
,2650.0,690.0,2.0,1.0,"365 Eglinton Avenue East - Toronto, ON",,,,,365 eglinton avenue east - toronto on,,999,5ec2c6ac0f
,2100.0,650.0,1.0,1.0,"725 Eglinton Ave W - Toronto, ON",,,,,725 eglinton ave w - toronto on,,999,4152e948f5
,3500.0,1250.0,3.0,2.0,"21 Mayfair Avenue - Toronto, ON",,,,,21 mayfair avenue - toronto on,,999,638dac1c99
,2500.0,514.0,1.0,1.0,"5-31 York Garden Way - Toronto, ON",,,,,5-31 york garden way - toronto on,5,999,deb8650b58
,2440.0,590.0,1.0,1.0,"1862 Bathurst St. - Toronto, ON",,,,,1862 bathurst st - toronto on,,999,2f7beac37c
,2500.0,714.0,2.0,1.0,"830 Lawrence Avenue West - North York, ON",,,,,830 lawrence avenue west - north york on,,999,844add6bea
,2195.0,800.0,2.0,1.0,"146 Sixth Street - Toronto, ON",,,,,146 sixth street - toronto on,,999,8fc601a11a
,2420.0,900.0,2.0,1.0,"2 Wesley Street - Toronto, ON",,,,,2 wesley street - toronto on,,999,c3bbefe26d
,2275.0,900.0,2.0,1.0,"162 Berry Road - Etobicoke, ON",,,,,162 berry road - etobicoke on,,999,22d98c801f
,1900.0,576.0,1.0,1.0,"24 Mabelle Avenue - Etobicoke, ON",,,,,24 mabelle avenue - etobicoke on,,999,63c4650289
,2597.0,943.0,2.0,1.0,"1154 Wilson Avenue - North York, ON",,,,,1154 wilson avenue - north york on,,999,8c5c16b85d
,2200.0,933.0,2.0,1.0,"104 Rajah Street - Toronto, ON",,,,,104 rajah street - toronto on,,999,52c889af40
